imageId,texts
11665,腦圖
11676,腦圖
11703,模板
11732,馮迪索
11762,哭哭 貓
11763,哭哭 貓
11764,海綿 寶寶
11765,高速 公路 急轉彎
11766,湯姆貓 傻眼
11767,亞洲人 之 恥
11848,湯姆貓
11877,模板
11879,passenger
11883,passenger
11986,熊貓人
11994,模板
12000,模板
12061,腦圖
12070,馮迪索
12127,韓國 瑜
12149,可愛 貓貓
12170,韓國 瑜
12367,浩羽
12368,浩羽
12370,海綿 寶寶
12373,鸚鵡 兄弟
12419,躺下 、 嘗試 不 哭
12495,國動
12498,貓咪
12504,比利
12549,模板
12553,模板
12557,韓國 瑜
12567,韓粉
12568,韓粉
12585,邊緣
12587,模板
12654,亞洲人 之 恥
12656,韓國 瑜
12657,貓咪
12658,海綿 寶寶
12659,模板
12660,Drake
12661,李奧納多
12666,海綿 寶寶
12668,鸚鵡 兄弟
12670,啊 啊
12671,啊 啊
12673,兩 顆 按鈕
12674,兩 顆 按鈕
12677,姚明 笑臉
12703,巴斯 光年
12845,當 你 在 51 區 救到 外星人
12874,高速 公路 急轉彎
12894,鸚鵡 兄弟
12912,鸚鵡 兄弟
12917,海綿 寶寶 燒 紙
12918,比利
12919,鸚鵡 兄弟
12946,海棉 寶寶
12947,海棉 寶寶
12962,米老鼠 戳爆 眼球
12964,模板
12965,臭 臉 女孩
12973,心跳
12993,腦圖
12996,Woman
13028,Drake
13029,Drake
13032,上帝 創造 OOO 的 過程
13051,不要 吵 啦
13052,不要 吵 啦
13064,模板
13065,模板
13066,模板
13122,傑出 的 一手
13123,比利
13124,比利
13125,比利
13127,薩諾斯 03
13128,薩諾斯 03
13129,薩諾斯 03
13131,炭治郎 的 鄙視
13134,薩諾斯
13141,王世堅
13143,哭泣 女人
13173,玩笑
13178,玩笑
13199,殺手 找 人
13218,蝙蝠俠
13219,蝙蝠俠
13345,電腦 前 深思
13357,對著 貓 吼 的 女人
13367,模板
13393,湯姆貓 傻眼
13400,看看 都 幾點 啦 ?
13405,米老鼠 戳爆 眼球
13406,50 收
13440,豆豆 先生
13443,模板
13474,American
13475,American
13488,女人 與 沙發 女人
13499,海綿 寶寶 燒 紙
13539,亞洲人 之 恥
13540,模板
13541,握手
13542,悄悄話
13594,你 掌管 什麼 呢 2
13603,聰明 尼哥 臉
13604,失望 的 天使
13693,高速 公路 急轉彎
13695,高速 公路 急轉彎
13701,兩 顆 按鈕
13763,電腦 前 深思
13764,電腦 前 深思
13814,兩 顆 按鈕
13832,海綿 寶寶
13848,鋼鐵人
13862,王世堅
13872,香港 警察 和 學運 人士
13874,DAYUM 包軌
13897,熊貓人
13910,哭哭 貓
13949,為什麼 不 修 冷氣
13950,高速 公路 急轉彎
13952,為什麼 不 修 冷氣
13958,Drake
13971,巴斯 光年
13976,模板
13978,模板
13979,模板
13980,模板
13996,海綿 寶寶 燒 紙
14023,湯姆貓
14028,背 刺
14030,sdwad
14036,簡單
14038,馮迪索
14039,湯姆貓
14040,模板
14051,遊戲王
14178,邊緣
14314,海綿 寶寶
14315,王世堅
14316,啊 啊
14386,海綿 寶寶 燒 紙
14387,啊 啊
14394,鸚鵡 兄弟
14395,模板
14471,殺手 找 人
14473,殺手 找 人
14475,湯姆貓
14734,鸚鵡 兄弟
14763,American
14794,尖叫
14796,當 你 解釋
14811,鸚鵡 兄弟
14860,蝙蝠俠
14921,模板
14925,尬啾剌 啊
14926,嘗試 不尻尻
14927,跑
14932,滴督郎
14938,海綿 寶寶 很 開心
15011,蠟筆 小新
15013,蠟筆 小新
15022,李奧納多
15124,無言 小 貓
15130,王境澤
15133,薩諾斯
15161,模板
15183,海鷗
15184,海鷗
15198,鸚鵡 兄弟
15232,驚訝 小 貓
15271,薩諾斯 02
15273,小孩 問 大人 問題
15274,小孩 問 大人 問題
15275,巴斯 光年
15318,湯姆貓 傻眼
15354,亞洲人 之 恥
15359,大家 一起 安慰 一 個 人
15393,啊 啊
15403,吉娃娃
15404,吉娃娃
15416,鋼鐵人
15417,鋼鐵人
15434,模板
15466,模板
15467,模板
15486,Drake
15526,大家 一起 安慰 一 個 人
15527,海綿 寶寶 很 開心
15528,哭泣 女人
15529,海綿 寶寶
15531,男人 在 等待
15549,猴子
15551,西裝 男人 們 大笑
15556,西裝 男人 們 大笑
15557,西裝 男人 們 大笑
15565,哭哭 貓
15567,海綿 寶寶 燒 紙
15572,模板
15585,Stonks
15587,亞洲人 之 恥
15615,思考
15619,普丁
15641,濕 了
15642,薩諾斯
15647,YAAAAAAAAAAAA
15651,YAAAAAAAAAAAA
15652,YAAAAAAAAAAAA
15653,腦圖
15655,湯姆貓
15658,YAAAAAAAAAAAA
15672,腦圖
15682,湯瑪士 從 沒 看 過
15688,嘗試 不尻尻
15701,女人 與 沙發 女人
15704,巴斯 光年
15709,男人 在 等待
15814,丟人 下樓 公司
15815,knock
15816,當 你 在 51 區 救到 外星人
15829,50 收
15866,湯姆貓 傻眼
15867,貓
15869,湯姆貓 傻眼
15870,白人 眨眼
15886,韓國 瑜
15888,湯姆貓 傻眼
15910,模板
15911,模板
15924,嘗試 不尻尻
15925,嘗試 不尻尻
15926,嘗試 不尻尻
15928,嘗試 不尻尻
15931,玩笑
15933,玩笑
15934,JOJO 梗 02
15969,省 之 呼吸
15972,兩 顆 按鈕
15994,巴斯 光年
15995,小 貓 比 中指
16003,握手 洗手
16025,高速 公路 急轉彎
16027,傑出 的 一手
16064,knock
16096,青蛙 推薦 你 上吊 自殺
16113,湯姆貓 傻眼
16145,神 煩 狗
16146,American
16159,奈良鹿 鄙視 你
16180,炭治郎 的 鄙視
16209,啊 啊
16212,模板
16215,韓國 瑜
16217,模板
16219,模板
16228,海鷗
16230,海鷗
16260,比利
16262,比利
16263,比利
16294,比利
16335,高速 公路 急轉彎
16398,再說 一 次
16399,再說 一 次
16400,羅禮士
16401,北村一輝
16402,海鷗
16407,knock
16410,john
16493,鸚鵡 兄弟
16506,男人
16507,哭哭 貓
16518,模板
16519,模板
16521,passenger
16525,兩 顆 按鈕
16528,對 聖誕老人 許願 B
16536,中國 外交部 發言人 耿爽 很 不 爽
16537,海綿 寶寶
16589,偷襲
16594,JOJO 梗
16595,模板
16601,勵志 男孩
16602,驚訝 小 貓
16607,鸚鵡 兄弟
16622,誰 殺 了 漢尼拔 ?
16662,無言 小 貓
16689,觀眾
16698,模板
16713,湯姆貓 傻眼
16716,knock
16720,玩笑
16721,海鷗
16724,模板
16726,模板
16753,哭哭 貓
16754,丟人 下樓 公司
16755,American
16757,American
16760,JOJO 梗
16791,小心 點
16796,拉拉拉拉拉
16798,模板
16808,男人 在 等待
16809,李奧納多
16813,Hehe
16845,Drake
16850,Drake
16851,Drake
16852,Drake
16853,Drake
16858,模板
16868,22
16930,薩諾斯 03
